Local_N,Local_E,Local_Z,Note
4620640.132,386751.1992,1.6393,TARGET9
4621317.343,386314.7052,6.2556,T8
4621317.328,386314.7072,6.2573,T8
4621317.345,386314.704,6.2363,T8
4621468.784,386152.2463,9.1236,T6
4621468.783,386152.2313,9.1103,T6
4621468.742,386152.2287,9.1033,T6
4621200.46,386169.3744,10.2482,T5
4621200.487,386169.393,10.2339,T5
4621200.567,386169.4068,10.2389,LASTONE=T5
4620385.685,386573.8384,1.7186,TARGET33
4620596.015,386337.3545,1.687,T32
4620602.022,386196.3906,1.6093,T31
4620616.897,385945.6811,1.6698,T30
4620733.76,385689.5885,1.6204,T29
4620916.994,385739.4727,1.5344,T28
4620806.5,385286.6981,1.632,T27
4621009.392,385142.0927,1.4518,T26
4621045.235,384930.7924,1.4434,T25
4620868.946,385558.9692,1.5075,T23
4620856.358,385941.8171,1.4494,T22
4620798.433,386106.5043,1.6315,T21
4621018.639,386619.5787,1.4216,TARGET20
4620372.046,386767.6479,1.5753,TARGET19
4620670.772,386527.3455,1.6226,TARGET18
4620787.306,386320.0656,1.5839,TARGET17
4620935.774,386858.9192,1.4908,TARGET13
4620793.629,386656.2855,1.4609,TARGET11
4621284.534,386001.1426,7.776,T1
4621284.505,386001.1224,7.7547,T1
4621284.516,386001.1172,7.7577,T1
4621150.486,385164.5991,1.5575,P6
4621042.474,386166.1664,1.5388,P5
4621056.229,385776.8769,1.563,P4
4621075.324,385450.5585,1.622,P2
4621209.425,384946.6988,1.463,P1
4621528.3,386360.8506,2.6843,G4
4621594.066,385924.8701,3.2883,G3
4621023.683,386310.8492,1.6486,G2
4621528.313,386360.8259,2.696,GLITTER-EAST
4621075.902,385982.5089,2.4071,G1
4621594.086,385924.8512,3.254,GLITTER-WEST
4621516.38,386215.418,4.4769,DISCO
